date,username,income_credit,spending,upi_txn_count,avg_txn_value,bill_due_paid_late_days,balance
2025-01-01,sahil,30000,1441,4,159,0,58559
2025-01-02,sahil,0,1396,3,138,0,57163
2025-01-03,sahil,0,574,2,299,2,56589
2025-01-04,sahil,0,1001,1,245,0,55588
2025-01-05,sahil,0,607,9,255,3,54981
2025-01-06,sahil,0,302,5,282,0,54679
2025-01-07,sahil,0,991,2,122,0,53688
2025-01-08,sahil,0,624,4,171,0,53064
2025-01-09,sahil,0,437,3,138,1,52627
2025-01-10,sahil,0,875,4,227,1,51752
2025-01-11,sahil,0,966,1,231,0,50786
2025-01-12,sahil,0,462,5,270,2,50324
2025-01-13,sahil,0,1093,1,212,0,49231
2025-01-14,sahil,0,818,8,296,1,48413
2025-01-15,sahil,0,336,5,283,3,48077
2025-01-16,sahil,0,733,9,164,0,47344
2025-01-17,sahil,0,866,1,128,1,46478
2025-01-18,sahil,0,1136,8,235,3,45342
2025-01-19,sahil,0,1276,2,218,0,44066
2025-01-20,sahil,0,646,3,149,0,43420
2025-01-21,sahil,0,1466,6,125,0,41954
2025-01-22,sahil,0,642,1,209,0,41312
2025-01-23,sahil,0,884,9,254,2,40428
2025-01-24,sahil,0,341,8,223,3,40087
2025-01-25,sahil,0,341,5,149,2,39746
2025-01-26,sahil,0,593,8,226,2,39153
2025-01-27,sahil,0,961,2,131,3,38192
2025-01-28,sahil,0,592,9,192,0,37600
2025-01-29,sahil,0,1253,5,262,0,36347
2025-01-30,sahil,0,737,3,231,0,35610
2025-01-31,sahil,0,728,9,265,3,34882
2025-02-01,sahil,30000,1248,2,268,0,63634
2025-02-02,sahil,0,835,4,151,2,62799
2025-02-03,sahil,0,962,7,164,0,61837
2025-02-04,sahil,0,835,5,277,1,61002
2025-02-05,sahil,0,573,2,218,1,60429
2025-02-06,sahil,0,874,5,274,0,59555
2025-02-07,sahil,0,427,2,238,0,59128
2025-02-08,sahil,0,934,9,182,0,58194
2025-02-09,sahil,0,570,3,254,0,57624
2025-02-10,sahil,0,1257,8,242,0,56367
2025-02-11,sahil,0,284,2,274,2,56083
2025-02-12,sahil,0,896,7,255,3,55187
2025-02-13,sahil,0,232,3,163,0,54955
2025-02-14,sahil,0,500,6,202,3,54455
2025-02-15,sahil,0,391,7,206,2,54064
2025-02-16,sahil,0,363,4,182,3,53701
2025-02-17,sahil,0,273,7,292,1,53428
2025-02-18,sahil,0,517,1,242,2,52911
2025-02-19,sahil,0,508,9,278,0,52403
2025-02-20,sahil,0,1243,3,210,0,51160
2025-02-21,sahil,0,1437,8,169,0,49723
2025-02-22,sahil,0,263,9,148,0,49460
2025-02-23,sahil,0,250,9,296,2,49210
2025-02-24,sahil,0,1468,5,153,0,47742
2025-02-25,sahil,0,940,5,148,1,46802
2025-02-26,sahil,0,632,6,214,1,46170
2025-02-27,sahil,0,204,9,186,1,45966
2025-02-28,sahil,0,970,4,205,1,44996
2025-03-01,sahil,30000,478,5,158,0,74518
2025-03-02,sahil,0,751,3,201,3,73767
2025-03-03,sahil,0,773,9,231,3,72994
2025-03-04,sahil,0,952,8,183,0,72042
2025-03-05,sahil,0,498,2,259,0,71544
2025-03-06,sahil,0,1181,1,122,0,70363
2025-03-07,sahil,0,1235,7,255,2,69128
2025-03-08,sahil,0,638,7,178,0,68490
2025-03-09,sahil,0,336,2,279,0,68154
2025-03-10,sahil,0,1277,2,233,0,66877
2025-03-11,sahil,0,792,3,285,1,66085
2025-03-12,sahil,0,1397,9,137,3,64688
2025-03-13,sahil,0,507,8,247,0,64181
2025-03-14,sahil,0,340,8,189,0,63841
2025-03-15,sahil,0,837,6,279,1,63004
2025-03-16,sahil,0,828,7,225,3,62176
2025-03-17,sahil,0,782,5,138,3,61394
2025-03-18,sahil,0,1436,5,297,1,59958
2025-03-19,sahil,0,1149,3,215,3,58809
2025-03-20,sahil,0,879,3,167,0,57930
2025-03-21,sahil,0,396,1,219,0,57534
2025-03-22,sahil,0,735,8,127,0,56799
2025-03-23,sahil,0,889,9,188,1,55910
2025-03-24,sahil,0,1336,3,142,1,54574
2025-03-25,sahil,0,1492,5,291,1,53082
2025-03-26,sahil,0,912,8,232,1,52170
2025-03-27,sahil,0,1465,7,193,3,50705
2025-03-28,sahil,0,442,9,294,3,50263
2025-03-29,sahil,0,416,3,169,0,49847
2025-03-30,sahil,0,943,4,137,0,48904
2025-03-31,sahil,0,816,8,295,1,48088
2025-04-01,sahil,30000,884,3,230,3,77204
2025-04-02,sahil,0,1201,9,246,0,76003
2025-04-03,sahil,0,852,2,236,1,75151
2025-04-04,sahil,0,977,9,162,0,74174
2025-04-05,sahil,0,305,7,146,1,73869
2025-04-06,sahil,0,291,9,206,3,73578
2025-04-07,sahil,0,891,6,195,3,72687
2025-04-08,sahil,0,1320,8,128,0,71367
2025-04-09,sahil,0,936,5,281,0,70431
2025-04-10,sahil,0,736,1,212,2,69695
2025-04-11,sahil,0,506,1,231,1,69189
2025-04-12,sahil,0,916,1,220,0,68273
2025-04-13,sahil,0,831,1,225,3,67442
2025-04-14,sahil,0,1275,5,209,0,66167
2025-04-15,sahil,0,1446,3,202,0,64721
2025-04-16,sahil,0,741,3,266,0,63980
2025-04-17,sahil,0,542,9,144,0,63438
2025-04-18,sahil,0,613,8,287,0,62825
2025-04-19,sahil,0,225,3,139,0,62600
2025-04-20,sahil,0,423,9,180,1,62177
2025-04-21,sahil,0,389,1,131,2,61788
2025-04-22,sahil,0,1041,3,161,0,60747
2025-04-23,sahil,0,1269,4,198,0,59478
2025-04-24,sahil,0,1268,2,277,0,58210
2025-04-25,sahil,0,866,7,205,1,57344
2025-04-26,sahil,0,1264,6,265,0,56080
2025-04-27,sahil,0,798,2,209,1,55282
2025-04-28,sahil,0,1460,4,173,0,53822
2025-04-29,sahil,0,849,2,161,2,52973
2025-04-30,sahil,0,667,7,136,3,52306
2025-05-01,sahil,30000,885,9,213,0,81421
2025-05-02,sahil,0,656,6,148,2,80765
2025-05-03,sahil,0,1272,2,219,0,79493
2025-05-04,sahil,0,231,9,229,0,79262
2025-05-05,sahil,0,1411,4,199,2,77851
2025-05-06,sahil,0,778,5,215,2,77073
2025-05-07,sahil,0,407,9,225,2,76666
2025-05-08,sahil,0,1496,5,250,0,75170
2025-05-09,sahil,0,588,5,273,0,74582
2025-05-10,sahil,0,1253,9,140,3,73329
2025-05-11,sahil,0,1279,6,203,0,72050
2025-05-12,sahil,0,684,7,124,2,71366
2025-05-13,sahil,0,1383,3,274,0,69983
2025-05-14,sahil,0,1343,7,188,1,68640
2025-05-15,sahil,0,326,8,122,2,68314
2025-05-16,sahil,0,565,9,221,0,67749
