date,username,income_credit,spending,upi_txn_count,avg_txn_value,bill_due_paid_late_days,balance
2025-01-01,nityanand,39766,484,7,292,2,74282
2025-01-02,nityanand,0,1004,6,355,0,73278
2025-01-03,nityanand,0,415,8,310,1,72863
2025-01-04,nityanand,0,1622,9,442,0,71241
2025-01-05,nityanand,0,1274,9,266,0,69967
2025-01-06,nityanand,0,1221,8,205,0,68746
2025-01-07,nityanand,0,1510,5,188,0,67236
2025-01-08,nityanand,0,728,5,252,0,66508
2025-01-09,nityanand,0,937,7,293,0,65571
2025-01-10,nityanand,0,650,5,169,0,64921
2025-01-11,nityanand,0,1246,4,369,0,63675
2025-01-12,nityanand,0,898,6,380,0,62777
2025-01-13,nityanand,0,1239,8,427,1,61538
2025-01-14,nityanand,0,1163,6,321,0,60375
2025-01-15,nityanand,0,491,4,427,5,59884
2025-01-16,nityanand,0,527,7,140,0,59357
2025-01-17,nityanand,0,712,9,210,0,58645
2025-01-18,nityanand,0,1469,5,299,0,57176
2025-01-19,nityanand,0,704,6,101,0,56472
2025-01-20,nityanand,0,407,9,141,0,56065
2025-01-21,nityanand,0,1671,4,276,0,54394
2025-01-22,nityanand,0,1509,4,409,0,52885
2025-01-23,nityanand,0,1203,5,491,0,51682
2025-01-24,nityanand,0,1456,5,283,0,50226
2025-01-25,nityanand,0,809,8,133,0,49417
2025-01-26,nityanand,0,1307,4,253,0,48110
2025-01-27,nityanand,0,1724,6,170,0,46386
2025-01-28,nityanand,0,1154,7,190,0,45232
2025-01-29,nityanand,0,1548,5,460,1,43684
2025-01-30,nityanand,0,1346,8,152,0,42338
2025-01-31,nityanand,0,1254,8,389,0,41084
2025-02-01,nityanand,39922,1087,8,213,0,79919
2025-02-02,nityanand,0,566,8,236,2,79353
2025-02-03,nityanand,0,1364,7,284,0,77989
2025-02-04,nityanand,0,1014,7,250,2,76975
2025-02-05,nityanand,0,1797,7,345,2,75178
2025-02-06,nityanand,0,839,7,300,0,74339
2025-02-07,nityanand,0,1157,6,479,0,73182
2025-02-08,nityanand,0,1314,5,498,0,71868
2025-02-09,nityanand,0,860,6,241,0,71008
2025-02-10,nityanand,0,1341,8,252,0,69667
2025-02-11,nityanand,0,573,6,129,2,69094
2025-02-12,nityanand,0,1303,5,137,0,67791
2025-02-13,nityanand,0,1609,5,148,0,66182
2025-02-14,nityanand,0,1171,6,383,0,65011
2025-02-15,nityanand,0,1105,6,295,0,63906
2025-02-16,nityanand,0,1035,8,279,1,62871
2025-02-17,nityanand,0,1584,5,207,4,61287
2025-02-18,nityanand,0,1233,5,149,1,60054
2025-02-19,nityanand,0,1101,4,173,0,58953
2025-02-20,nityanand,0,639,7,228,0,58314
2025-02-21,nityanand,0,1468,7,454,2,56846
2025-02-22,nityanand,0,1014,5,464,3,55832
2025-02-23,nityanand,0,528,7,143,0,55304
2025-02-24,nityanand,0,1483,6,363,2,53821
2025-02-25,nityanand,0,1352,6,202,2,52469
2025-02-26,nityanand,0,1582,6,100,0,50887
2025-02-27,nityanand,0,720,8,379,0,50167
2025-02-28,nityanand,0,942,9,395,4,49225
2025-03-01,nityanand,39304,1248,6,458,0,87281
2025-03-02,nityanand,0,548,5,415,2,86733
2025-03-03,nityanand,0,546,8,417,1,86187
2025-03-04,nityanand,0,520,4,124,0,85667
2025-03-05,nityanand,0,1236,7,161,1,84431
2025-03-06,nityanand,0,1283,5,391,0,83148
2025-03-07,nityanand,0,821,7,314,0,82327
2025-03-08,nityanand,0,665,7,470,0,81662
2025-03-09,nityanand,0,1343,7,448,1,80319
2025-03-10,nityanand,0,1356,9,183,0,78963
2025-03-11,nityanand,0,1080,7,462,0,77883
2025-03-12,nityanand,0,781,5,439,0,77102
2025-03-13,nityanand,0,858,8,188,2,76244
2025-03-14,nityanand,0,773,8,143,0,75471
2025-03-15,nityanand,0,1642,4,118,0,73829
2025-03-16,nityanand,0,842,6,167,2,72987
2025-03-17,nityanand,0,1233,7,324,3,71754
2025-03-18,nityanand,0,1745,6,347,0,70009
2025-03-19,nityanand,0,1796,5,302,1,68213
2025-03-20,nityanand,0,1705,8,317,2,66508
2025-03-21,nityanand,0,1480,5,165,0,65028
2025-03-22,nityanand,0,548,7,153,0,64480
2025-03-23,nityanand,0,1743,8,269,0,62737
2025-03-24,nityanand,0,886,4,348,0,61851
2025-03-25,nityanand,0,431,9,290,2,61420
2025-03-26,nityanand,0,644,8,492,0,60776
2025-03-27,nityanand,0,1371,9,355,0,59405
2025-03-28,nityanand,0,1729,8,264,2,57676
2025-03-29,nityanand,0,1759,8,446,0,55917
2025-03-30,nityanand,0,1489,9,125,0,54428
2025-03-31,nityanand,0,1251,7,393,0,53177
2025-04-01,nityanand,38162,567,5,434,0,90772
2025-04-02,nityanand,0,768,6,416,0,90004
2025-04-03,nityanand,0,1721,9,361,0,88283
2025-04-04,nityanand,0,564,8,194,2,87719
2025-04-05,nityanand,0,1120,7,348,0,86599
2025-04-06,nityanand,0,1694,5,354,1,84905
2025-04-07,nityanand,0,1317,4,166,4,83588
2025-04-08,nityanand,0,1470,4,274,0,82118
2025-04-09,nityanand,0,1550,6,172,0,80568
2025-04-10,nityanand,0,477,8,450,1,80091
2025-04-11,nityanand,0,1120,5,180,0,78971
2025-04-12,nityanand,0,1597,5,354,0,77374
2025-04-13,nityanand,0,1456,6,331,2,75918
2025-04-14,nityanand,0,1713,9,129,1,74205
2025-04-15,nityanand,0,1282,9,103,0,72923
2025-04-16,nityanand,0,490,6,122,0,72433
2025-04-17,nityanand,0,1358,5,432,0,71075
2025-04-18,nityanand,0,614,6,469,0,70461
2025-04-19,nityanand,0,603,7,459,0,69858
2025-04-20,nityanand,0,1273,4,151,0,68585
2025-04-21,nityanand,0,747,6,297,0,67838
2025-04-22,nityanand,0,1272,4,120,0,66566
2025-04-23,nityanand,0,781,4,155,0,65785
2025-04-24,nityanand,0,1647,5,248,2,64138
2025-04-25,nityanand,0,957,5,311,0,63181
2025-04-26,nityanand,0,459,8,375,0,62722
2025-04-27,nityanand,0,1312,9,137,0,61410
2025-04-28,nityanand,0,1172,7,456,0,60238
2025-04-29,nityanand,0,1671,6,446,0,58567
2025-04-30,nityanand,0,1100,9,224,3,57467
2025-05-01,nityanand,38738,1073,4,293,0,95132
2025-05-02,nityanand,0,1528,7,436,0,93604
2025-05-03,nityanand,0,1775,6,137,2,91829
2025-05-04,nityanand,0,681,7,207,0,91148
2025-05-05,nityanand,0,462,6,156,0,90686
2025-05-06,nityanand,0,1716,9,378,0,88970
2025-05-07,nityanand,0,640,5,419,0,88330
2025-05-08,nityanand,0,991,6,322,0,87339
2025-05-09,nityanand,0,634,7,168,2,86705
2025-05-10,nityanand,0,1114,4,260,2,85591
2025-05-11,nityanand,0,1613,4,208,0,83978
2025-05-12,nityanand,0,1499,6,188,0,82479
2025-05-13,nityanand,0,758,8,412,2,81721
2025-05-14,nityanand,0,1624,9,253,5,80097
2025-05-15,nityanand,0,987,7,253,2,79110
2025-05-16,nityanand,0,1092,4,416,1,78018
2025-05-17,nityanand,0,1356,8,222,0,76662
2025-05-18,nityanand,0,1603,4,366,3,75059
2025-05-19,nityanand,0,671,6,475,2,74388
2025-05-20,nityanand,0,1081,7,145,2,73307
2025-05-21,nityanand,0,1637,9,318,1,71670
2025-05-22,nityanand,0,1015,7,364,0,70655
2025-05-23,nityanand,0,1038,4,410,0,69617
2025-05-24,nityanand,0,1438,8,435,0,68179
2025-05-25,nityanand,0,1319,4,473,3,66860
2025-05-26,nityanand,0,1141,7,456,1,65719
2025-05-27,nityanand,0,471,9,125,0,65248
2025-05-28,nityanand,0,419,9,318,3,64829
2025-05-29,nityanand,0,1309,6,342,0,63520
2025-05-30,nityanand,0,934,5,164,2,62586
2025-05-31,nityanand,0,1635,5,298,5,60951
2025-06-01,nityanand,37192,573,7,273,0,97570
2025-06-02,nityanand,0,1086,6,303,0,96484
2025-06-03,nityanand,0,750,9,308,1,95734
2025-06-04,nityanand,0,1200,6,278,2,94534
2025-06-05,nityanand,0,471,6,177,0,94063
2025-06-06,nityanand,0,909,6,395,1,93154
2025-06-07,nityanand,0,835,9,397,0,92319
2025-06-08,nityanand,0,481,5,110,0,91838
2025-06-09,nityanand,0,1706,8,315,0,90132
2025-06-10,nityanand,0,1374,8,238,0,88758
2025-06-11,nityanand,0,1491,4,279,2,87267
2025-06-12,nityanand,0,1263,6,266,2,86004
2025-06-13,nityanand,0,795,8,473,0,85209
2025-06-14,nityanand,0,458,9,170,2,84751
2025-06-15,nityanand,0,1560,9,321,0,83191
2025-06-16,nityanand,0,1383,4,487,0,81808
2025-06-17,nityanand,0,620,4,389,0,81188
2025-06-18,nityanand,0,1336,4,457,0,79852
2025-06-19,nityanand,0,1358,9,320,0,78494
2025-06-20,nityanand,0,1360,7,310,2,77134
2025-06-21,nityanand,0,1342,9,382,0,75792
2025-06-22,nityanand,0,1708,4,122,0,74084
2025-06-23,nityanand,0,582,5,489,1,73502
2025-06-24,nityanand,0,1160,6,439,0,72342
2025-06-25,nityanand,0,1779,4,435,0,70563
2025-06-26,nityanand,0,1565,6,169,0,68998
2025-06-27,nityanand,0,1475,7,444,0,67523
2025-06-28,nityanand,0,762,7,178,0,66761
2025-06-29,nityanand,0,1103,6,208,0,65658
2025-06-30,nityanand,0,995,9,105,0,64663
2025-07-01,nityanand,38772,1310,9,179,0,102125
2025-07-02,nityanand,0,851,9,450,0,101274
2025-07-03,nityanand,0,1517,8,174,0,99757
2025-07-04,nityanand,0,1131,5,355,0,98626
2025-07-05,nityanand,0,1150,5,372,0,97476
2025-07-06,nityanand,0,775,7,167,0,96701
2025-07-07,nityanand,0,1611,9,327,0,95090
2025-07-08,nityanand,0,1571,5,254,0,93519
2025-07-09,nityanand,0,426,8,497,0,93093
2025-07-10,nityanand,0,1213,6,395,0,91880
2025-07-11,nityanand,0,1356,9,185,2,90524
2025-07-12,nityanand,0,1177,6,232,0,89347
2025-07-13,nityanand,0,1489,9,479,5,87858
2025-07-14,nityanand,0,862,8,127,0,86996
2025-07-15,nityanand,0,1462,9,336,0,85534
2025-07-16,nityanand,0,1023,4,341,0,84511
2025-07-17,nityanand,0,1079,7,331,1,83432
2025-07-18,nityanand,0,1390,8,347,2,82042
2025-07-19,nityanand,0,1092,7,273,4,80950
2025-07-20,nityanand,0,1367,6,168,0,79583
2025-07-21,nityanand,0,1095,9,343,0,78488
2025-07-22,nityanand,0,1657,6,438,0,76831
2025-07-23,nityanand,0,1257,6,282,0,75574
2025-07-24,nityanand,0,530,5,306,0,75044
2025-07-25,nityanand,0,1424,7,155,0,73620
2025-07-26,nityanand,0,1444,5,415,3,72176
2025-07-27,nityanand,0,1536,7,496,0,70640
2025-07-28,nityanand,0,1724,9,375,0,68916
2025-07-29,nityanand,0,412,8,129,0,68504
2025-07-30,nityanand,0,1399,6,256,0,67105
2025-07-31,nityanand,0,1128,9,323,0,65977
2025-08-01,nityanand,36581,694,9,390,0,101864
2025-08-02,nityanand,0,961,6,404,0,100903
2025-08-03,nityanand,0,1494,7,367,3,99409
2025-08-04,nityanand,0,1240,9,442,1,98169
2025-08-05,nityanand,0,892,9,259,2,97277
2025-08-06,nityanand,0,460,5,295,3,96817
2025-08-07,nityanand,0,764,9,218,2,96053
2025-08-08,nityanand,0,1393,9,255,2,94660
2025-08-09,nityanand,0,765,9,161,0,93895
2025-08-10,nityanand,0,873,6,181,0,93022
2025-08-11,nityanand,0,991,4,180,0,92031
2025-08-12,nityanand,0,1348,6,466,0,90683
2025-08-13,nityanand,0,1246,9,435,0,89437
2025-08-14,nityanand,0,1354,5,191,0,88083
2025-08-15,nityanand,0,655,6,222,2,87428
2025-08-16,nityanand,0,591,6,387,0,86837
2025-08-17,nityanand,0,549,5,342,0,86288
2025-08-18,nityanand,0,1117,8,278,0,85171
2025-08-19,nityanand,0,715,5,468,2,84456
2025-08-20,nityanand,0,789,9,448,0,83667
2025-08-21,nityanand,0,1262,6,245,0,82405
2025-08-22,nityanand,0,779,6,224,0,81626
2025-08-23,nityanand,0,1388,7,469,0,80238
2025-08-24,nityanand,0,1300,9,134,0,78938
2025-08-25,nityanand,0,766,4,414,4,78172
2025-08-26,nityanand,0,402,4,415,0,77770
2025-08-27,nityanand,0,1287,4,234,0,76483
2025-08-28,nityanand,0,1250,5,381,0,75233
2025-08-29,nityanand,0,1707,6,370,1,73526
2025-08-30,nityanand,0,827,5,151,0,72699
2025-08-31,nityanand,0,1035,4,330,0,71664
2025-09-01,nityanand,34677,1100,7,240,1,105241
2025-09-02,nityanand,0,1471,7,377,1,103770
2025-09-03,nityanand,0,1046,5,163,0,102724
2025-09-04,nityanand,0,1646,6,409,0,101078
2025-09-05,nityanand,0,1786,5,386,0,99292
2025-09-06,nityanand,0,409,4,252,0,98883
2025-09-07,nityanand,0,1275,7,457,0,97608
2025-09-08,nityanand,0,1292,9,311,0,96316
2025-09-09,nityanand,0,987,9,284,0,95329
2025-09-10,nityanand,0,1634,4,325,0,93695
2025-09-11,nityanand,0,864,8,357,1,92831
2025-09-12,nityanand,0,1308,5,404,3,91523
2025-09-13,nityanand,0,1530,8,432,0,89993
2025-09-14,nityanand,0,947,5,123,0,89046
2025-09-15,nityanand,0,980,6,209,5,88066
2025-09-16,nityanand,0,1498,9,183,0,86568
2025-09-17,nityanand,0,838,7,440,0,85730
2025-09-18,nityanand,0,1399,9,206,0,84331
2025-09-19,nityanand,0,1608,5,339,0,82723
2025-09-20,nityanand,0,811,9,440,0,81912
2025-09-21,nityanand,0,1241,6,136,0,80671
2025-09-22,nityanand,0,528,6,405,0,80143
2025-09-23,nityanand,0,1257,8,376,0,78886
2025-09-24,nityanand,0,1376,4,401,1,77510
2025-09-25,nityanand,0,1306,9,145,0,76204
2025-09-26,nityanand,0,1501,9,421,0,74703
2025-09-27,nityanand,0,788,5,424,2,73915
2025-09-28,nityanand,0,1148,7,441,0,72767
2025-09-29,nityanand,0,1656,9,375,1,71111
2025-09-30,nityanand,0,809,9,146,2,70302
2025-10-01,nityanand,38255,687,5,276,0,107870
2025-10-02,nityanand,0,1606,8,265,2,106264
2025-10-03,nityanand,0,1766,6,137,5,104498
2025-10-04,nityanand,0,421,7,433,0,104077
2025-10-05,nityanand,0,590,7,239,0,103487
2025-10-06,nityanand,0,1032,7,411,0,102455
2025-10-07,nityanand,0,1256,6,270,0,101199
2025-10-08,nityanand,0,1605,8,418,0,99594
2025-10-09,nityanand,0,1579,8,264,5,98015
2025-10-10,nityanand,0,1748,5,322,0,96267
2025-10-11,nityanand,0,832,4,197,0,95435
2025-10-12,nityanand,0,1621,9,398,0,93814
2025-10-13,nityanand,0,1740,5,313,0,92074
2025-10-14,nityanand,0,1407,8,399,2,90667
2025-10-15,nityanand,0,1294,9,233,1,89373
2025-10-16,nityanand,0,1321,9,352,0,88052
2025-10-17,nityanand,0,1748,9,352,0,86304
2025-10-18,nityanand,0,488,9,479,0,85816
2025-10-19,nityanand,0,1763,4,381,3,84053
2025-10-20,nityanand,0,1588,7,135,0,82465
2025-10-21,nityanand,0,468,8,428,0,81997
2025-10-22,nityanand,0,769,4,302,1,81228
2025-10-23,nityanand,0,952,4,193,0,80276
2025-10-24,nityanand,0,1773,7,183,1,78503
2025-10-25,nityanand,0,469,6,424,0,78034
2025-10-26,nityanand,0,644,5,339,0,77390
2025-10-27,nityanand,0,1393,4,262,1,75997
2025-10-28,nityanand,0,1141,7,453,1,74856
2025-10-29,nityanand,0,420,7,153,2,74436
2025-10-30,nityanand,0,1640,4,350,2,72796
2025-10-31,nityanand,0,1483,7,325,0,71313
2025-11-01,nityanand,38894,1076,6,219,5,109131
2025-11-02,nityanand,0,1340,4,192,0,107791
2025-11-03,nityanand,0,954,8,282,0,106837
2025-11-04,nityanand,0,1515,8,120,1,105322
2025-11-05,nityanand,0,687,7,189,0,104635
2025-11-06,nityanand,0,1301,7,224,0,103334
2025-11-07,nityanand,0,1612,7,158,0,101722
2025-11-08,nityanand,0,741,5,182,0,100981
2025-11-09,nityanand,0,404,7,244,0,100577
2025-11-10,nityanand,0,487,5,204,0,100090
2025-11-11,nityanand,0,756,6,132,4,99334
2025-11-12,nityanand,0,1217,6,492,0,98117
2025-11-13,nityanand,0,617,8,379,0,97500
2025-11-14,nityanand,0,1707,4,228,0,95793
2025-11-15,nityanand,0,903,7,281,0,94890
2025-11-16,nityanand,0,1025,5,481,0,93865
2025-11-17,nityanand,0,1742,6,144,0,92123
2025-11-18,nityanand,0,696,5,338,0,91427
2025-11-19,nityanand,0,1376,7,334,0,90051
2025-11-20,nityanand,0,1055,9,151,0,88996
2025-11-21,nityanand,0,1223,7,363,1,87773
2025-11-22,nityanand,0,928,7,310,0,86845
2025-11-23,nityanand,0,1719,6,118,0,85126
2025-11-24,nityanand,0,1699,8,280,0,83427
2025-11-25,nityanand,0,1312,9,387,0,82115
2025-11-26,nityanand,0,1799,9,306,2,80316
2025-11-27,nityanand,0,686,5,386,0,79630
2025-11-28,nityanand,0,1365,6,265,0,78265
2025-11-29,nityanand,0,418,5,388,0,77847
2025-11-30,nityanand,0,1319,6,259,2,76528
2025-12-01,nityanand,34926,1709,9,143,0,109745
2025-12-02,nityanand,0,1378,7,393,0,108367
2025-12-03,nityanand,0,889,9,234,0,107478
2025-12-04,nityanand,0,928,8,399,0,106550
2025-12-05,nityanand,0,1309,6,212,0,105241
2025-12-06,nityanand,0,481,6,165,0,104760
2025-12-07,nityanand,0,998,8,245,5,103762
2025-12-08,nityanand,0,1040,7,132,0,102722
2025-12-09,nityanand,0,1183,9,196,0,101539
2025-12-10,nityanand,0,565,7,125,3,100974
2025-12-11,nityanand,0,1603,7,465,0,99371
2025-12-12,nityanand,0,1204,5,121,0,98167
2025-12-13,nityanand,0,672,4,435,1,97495
2025-12-14,nityanand,0,579,5,331,0,96916
2025-12-15,nityanand,0,1282,8,281,2,95634
2025-12-16,nityanand,0,740,7,161,0,94894
2025-12-17,nityanand,0,1797,6,311,0,93097
2025-12-18,nityanand,0,1499,7,157,0,91598
2025-12-19,nityanand,0,1014,9,391,5,90584
2025-12-20,nityanand,0,975,9,223,3,89609
2025-12-21,nityanand,0,1284,8,263,0,88325
2025-12-22,nityanand,0,883,6,342,5,87442
2025-12-23,nityanand,0,1360,4,293,1,86082
2025-12-24,nityanand,0,1393,6,129,4,84689
2025-12-25,nityanand,0,509,7,279,0,84180
2025-12-26,nityanand,0,1582,9,326,0,82598
2025-12-27,nityanand,0,1753,9,290,1,80845
2025-12-28,nityanand,0,1614,8,347,4,79231
2025-12-29,nityanand,0,1034,5,355,0,78197
2025-12-30,nityanand,0,1300,8,217,0,76897
2025-12-31,nityanand,0,885,7,499,2,76012
