date,username,income_credit,spending,upi_txn_count,avg_txn_value,bill_due_paid_late_days,balance
2025-01-01,riya,44651,686,8,412,0,88965
2025-01-02,riya,0,626,8,325,0,88339
2025-01-03,riya,0,763,10,298,0,87576
2025-01-04,riya,0,321,5,195,1,87255
2025-01-05,riya,0,958,10,136,0,86297
2025-01-06,riya,0,502,6,213,0,85795
2025-01-07,riya,0,813,5,147,0,84982
2025-01-08,riya,0,871,11,348,0,84111
2025-01-09,riya,0,629,5,202,0,83482
2025-01-10,riya,0,794,10,245,0,82688
2025-01-11,riya,0,986,6,369,2,81702
2025-01-12,riya,0,489,8,175,0,81213
2025-01-13,riya,0,548,5,191,0,80665
2025-01-14,riya,0,914,9,447,0,79751
2025-01-15,riya,0,554,5,190,0,79197
2025-01-16,riya,0,813,7,333,0,78384
2025-01-17,riya,0,362,7,308,1,78022
2025-01-18,riya,0,902,5,402,0,77120
2025-01-19,riya,0,583,7,423,3,76537
2025-01-20,riya,0,733,9,497,0,75804
2025-01-21,riya,0,574,7,236,0,75230
2025-01-22,riya,0,776,10,466,0,74454
2025-01-23,riya,0,585,5,450,1,73869
2025-01-24,riya,0,856,9,394,0,73013
2025-01-25,riya,0,912,10,148,0,72101
2025-01-26,riya,0,848,11,332,0,71253
2025-01-27,riya,0,996,9,269,0,70257
2025-01-28,riya,0,404,6,251,1,69853
2025-01-29,riya,0,526,11,259,4,69327
2025-01-30,riya,0,759,5,169,0,68568
2025-01-31,riya,0,364,5,306,0,68204
2025-02-01,riya,48885,829,5,148,0,116260
2025-02-02,riya,0,525,5,193,0,115735
2025-02-03,riya,0,907,11,176,0,114828
2025-02-04,riya,0,659,7,152,0,114169
2025-02-05,riya,0,401,10,257,0,113768
2025-02-06,riya,0,347,8,254,2,113421
2025-02-07,riya,0,551,6,294,0,112870
2025-02-08,riya,0,952,8,310,2,111918
2025-02-09,riya,0,391,5,324,0,111527
2025-02-10,riya,0,761,11,264,0,110766
2025-02-11,riya,0,880,11,143,0,109886
2025-02-12,riya,0,438,6,128,2,109448
2025-02-13,riya,0,636,8,310,0,108812
2025-02-14,riya,0,318,11,258,0,108494
2025-02-15,riya,0,661,6,263,0,107833
2025-02-16,riya,0,973,6,384,0,106860
2025-02-17,riya,0,437,5,371,0,106423
2025-02-18,riya,0,911,9,122,0,105512
2025-02-19,riya,0,383,6,380,2,105129
2025-02-20,riya,0,913,7,245,0,104216
2025-02-21,riya,0,471,5,319,0,103745
