date,username,income_credit,spending,upi_txn_count,avg_txn_value,bill_due_paid_late_days,balance
2025-01-01,sohel,20410,1267,1,229,4,37143
2025-01-02,sohel,0,855,4,310,0,36288
2025-01-03,sohel,0,1391,4,322,2,34897
2025-01-04,sohel,0,1125,2,129,2,33772
2025-01-05,sohel,0,1400,4,387,2,32372
2025-01-06,sohel,0,889,1,232,1,31483
2025-01-07,sohel,0,1180,2,306,3,30303
2025-01-08,sohel,0,1112,3,361,2,29191
2025-01-09,sohel,0,1055,1,409,0,28136
2025-01-10,sohel,0,871,1,168,0,27265
2025-01-11,sohel,0,1258,1,191,0,26007
2025-01-12,sohel,0,1109,4,348,4,24898
2025-01-13,sohel,0,1263,4,329,3,23635
2025-01-14,sohel,0,1418,4,241,1,22217
2025-01-15,sohel,0,1176,2,244,4,21041
2025-01-16,sohel,0,1005,4,152,3,20036
2025-01-17,sohel,0,1112,1,485,2,18924
2025-01-18,sohel,0,948,4,322,2,17976
2025-01-19,sohel,0,911,3,261,0,17065
2025-01-20,sohel,0,1166,4,234,2,15899
2025-01-21,sohel,0,1406,2,197,0,14493
2025-01-22,sohel,0,1093,1,126,0,13400
2025-01-23,sohel,0,1169,4,168,2,12231
2025-01-24,sohel,0,981,3,471,2,11250
2025-01-25,sohel,0,1412,4,161,3,9838
2025-01-26,sohel,0,1387,1,113,4,8451
2025-01-27,sohel,0,1201,1,327,4,7250
2025-01-28,sohel,0,959,4,237,2,6291
2025-01-29,sohel,0,1424,3,260,0,4867
2025-01-30,sohel,0,854,1,412,2,4013
2025-01-31,sohel,0,1259,4,334,3,2754
2025-02-01,sohel,22063,916,1,218,0,23901
2025-02-02,sohel,0,992,1,298,0,22909
2025-02-03,sohel,0,1336,1,139,2,21573
2025-02-04,sohel,0,1062,2,365,0,20511
2025-02-05,sohel,0,846,2,372,0,19665
2025-02-06,sohel,0,1197,2,140,1,18468
2025-02-07,sohel,0,1186,4,182,0,17282
2025-02-08,sohel,0,943,3,443,1,16339
2025-02-09,sohel,0,1001,2,286,0,15338
2025-02-10,sohel,0,1422,2,237,0,13916
2025-02-11,sohel,0,1303,1,409,1,12613
2025-02-12,sohel,0,1422,2,363,1,11191
2025-02-13,sohel,0,1049,3,253,2,10142
2025-02-14,sohel,0,1033,1,483,3,9109
2025-02-15,sohel,0,1185,3,208,2,7924
2025-02-16,sohel,0,908,2,159,3,7016
2025-02-17,sohel,0,1206,4,325,2,5810
2025-02-18,sohel,0,819,4,315,0,4991
2025-02-19,sohel,0,1096,2,340,4,3895
2025-02-20,sohel,0,1331,2,270,0,2564
2025-02-21,sohel,0,941,3,332,2,1623
2025-02-22,sohel,0,1076,3,340,0,547
2025-02-23,sohel,0,842,3,413,1,-295
2025-02-24,sohel,0,1009,1,232,4,-500
2025-02-25,sohel,0,1419,4,361,3,-500
2025-02-26,sohel,0,1403,1,221,3,-500
2025-02-27,sohel,0,992,3,272,0,-500
2025-02-28,sohel,0,1244,4,232,1,-500
2025-03-01,sohel,16009,1182,4,229,1,8465
2025-03-02,sohel,0,1208,2,384,2,7257
2025-03-03,sohel,0,1143,1,323,4,6114
2025-03-04,sohel,0,1413,3,249,2,4701
2025-03-05,sohel,0,1033,4,408,3,3668
2025-03-06,sohel,0,1439,1,102,0,2229
2025-03-07,sohel,0,1007,2,467,5,1222
2025-03-08,sohel,0,999,2,353,3,223
2025-03-09,sohel,0,875,2,454,1,-500
2025-03-10,sohel,0,997,2,482,1,-500
2025-03-11,sohel,0,1337,4,178,0,-500
2025-03-12,sohel,0,905,3,421,0,-500
2025-03-13,sohel,0,1213,4,185,0,-500
2025-03-14,sohel,0,1266,2,204,2,-500
2025-03-15,sohel,0,1083,4,344,0,-500
2025-03-16,sohel,0,866,4,285,0,-500
2025-03-17,sohel,0,1034,3,165,3,-500
2025-03-18,sohel,0,1244,2,219,0,-500
2025-03-19,sohel,0,1396,2,386,4,-500
2025-03-20,sohel,0,1444,4,490,0,-500
2025-03-21,sohel,0,1193,4,476,3,-500
2025-03-22,sohel,0,1433,4,478,3,-500
2025-03-23,sohel,0,1232,1,275,3,-500
2025-03-24,sohel,0,1444,2,275,0,-500
2025-03-25,sohel,0,945,2,295,2,-500
2025-03-26,sohel,0,991,4,390,0,-500
2025-03-27,sohel,0,917,4,459,2,-500
2025-03-28,sohel,0,913,2,173,4,-500
2025-03-29,sohel,0,1348,1,218,1,-500
2025-03-30,sohel,0,812,4,395,1,-500
2025-03-31,sohel,0,904,3,219,0,-500
2025-04-01,sohel,18042,1161,1,393,1,-500
2025-04-02,sohel,0,880,3,387,2,-500
2025-04-03,sohel,0,950,4,101,0,-500
2025-04-04,sohel,0,847,1,437,1,-500
2025-04-05,sohel,0,1076,1,110,3,-500
2025-04-06,sohel,0,1391,4,103,0,-500
2025-04-07,sohel,0,855,3,180,1,-500
2025-04-08,sohel,0,846,2,364,3,-500
2025-04-09,sohel,0,1454,1,315,2,-500
2025-04-10,sohel,0,1376,3,322,0,-500
2025-04-11,sohel,0,1397,2,333,2,-500
2025-04-12,sohel,0,1141,3,109,3,-500
2025-04-13,sohel,0,1095,2,249,0,-500
2025-04-14,sohel,0,844,4,420,3,-500
2025-04-15,sohel,0,1384,3,100,1,-500
2025-04-16,sohel,0,1159,2,302,2,-500
2025-04-17,sohel,0,1044,3,142,0,-500
2025-04-18,sohel,0,1447,4,392,2,-500
2025-04-19,sohel,0,1324,1,238,1,-500
2025-04-20,sohel,0,1120,4,333,3,-500
2025-04-21,sohel,0,836,1,304,1,-500
2025-04-22,sohel,0,806,4,184,1,-500
2025-04-23,sohel,0,920,4,176,3,-500
2025-04-24,sohel,0,1230,3,111,1,-500
2025-04-25,sohel,0,1040,3,219,1,-500
2025-04-26,sohel,0,873,1,465,1,-500
2025-04-27,sohel,0,1045,1,431,2,-500
2025-04-28,sohel,0,966,4,279,2,-500
2025-04-29,sohel,0,882,3,466,3,-500
2025-04-30,sohel,0,1473,4,424,2,-500
2025-05-01,sohel,21701,1475,2,167,2,-500
2025-05-02,sohel,0,1294,2,144,0,-500
2025-05-03,sohel,0,889,3,385,0,-500
2025-05-04,sohel,0,1105,2,444,5,-500
2025-05-05,sohel,0,1063,2,394,0,-500
2025-05-06,sohel,0,1224,3,355,1,-500
2025-05-07,sohel,0,1207,2,458,2,-500
2025-05-08,sohel,0,1248,1,321,0,-500
2025-05-09,sohel,0,1186,4,294,1,-500
2025-05-10,sohel,0,1393,1,480,4,-500
2025-05-11,sohel,0,825,2,136,0,-500
2025-05-12,sohel,0,1445,1,489,5,-500
2025-05-13,sohel,0,1177,2,250,3,-500
2025-05-14,sohel,0,1374,3,322,0,-500
2025-05-15,sohel,0,988,4,246,1,-500
2025-05-16,sohel,0,1459,4,278,0,-500
2025-05-17,sohel,0,1210,2,432,1,-500
2025-05-18,sohel,0,1079,2,302,1,-500
2025-05-19,sohel,0,906,4,339,4,-500
2025-05-20,sohel,0,1459,1,159,3,-500
2025-05-21,sohel,0,1374,2,297,0,-500
2025-05-22,sohel,0,1370,2,133,1,-500
2025-05-23,sohel,0,1132,1,130,2,-500
2025-05-24,sohel,0,986,3,120,0,-500
2025-05-25,sohel,0,927,4,322,0,-500
2025-05-26,sohel,0,1232,1,324,1,-500
2025-05-27,sohel,0,820,4,463,1,-500
2025-05-28,sohel,0,1189,3,172,0,-500
2025-05-29,sohel,0,1370,4,469,2,-500
2025-05-30,sohel,0,1023,2,205,0,-500
2025-05-31,sohel,0,919,3,413,3,-500
2025-06-01,sohel,16706,842,4,122,0,-500
2025-06-02,sohel,0,1036,1,164,2,-500
2025-06-03,sohel,0,968,4,183,1,-500
2025-06-04,sohel,0,1050,1,130,4,-500
2025-06-05,sohel,0,919,4,184,0,-500
2025-06-06,sohel,0,1318,4,106,0,-500
2025-06-07,sohel,0,1186,2,474,0,-500
2025-06-08,sohel,0,806,2,362,2,-500
2025-06-09,sohel,0,1491,1,494,1,-500
2025-06-10,sohel,0,1242,4,215,4,-500
2025-06-11,sohel,0,806,2,215,1,-500
2025-06-12,sohel,0,1210,1,348,0,-500
2025-06-13,sohel,0,933,4,248,4,-500
2025-06-14,sohel,0,1215,1,313,4,-500
